0nohup.out,1nohup.out,2nohup.out,3nohup.out,4nohup.out,5nohup.out,6nohup.out,7nohup.out,8nohup.out,9nohup.out
-2063.17932082827,-2064.22489834906,-2063.05853342484,-2063.05853342484,-2063.08761186661,-2063.74121990466,-2063.20500392237,-2063.17039511716,-2063.08020859021,-2062.8167516282
-1761.88165857847,-1717.33341708281,-1768.26609841542,-1768.26609841542,-1765.95392281496,-1735.85858370403,-1760.78229888131,-1762.38145775268,-1767.29935755779,-1780.75732954173
-1651.24987946927,-1654.06001690592,-1650.90771543887,-1650.90771543887,-1650.94362918974,-1652.59242434969,-1651.34720679427,-1651.01107453253,-1650.78908893689,-1650.31577005186
-1585.80329925118,-1585.90781491793,-1585.7904717901,-1585.7904717901,-1585.81294604388,-1585.89321143525,-1585.81442614806,-1585.78558789401,-1585.77093289873,-1585.79781588907
-1592.98673706982,-1587.61442416349,-1593.73951571169,-1593.73951571169,-1593.3705129083,-1589.93622254125,-1592.87255134491,-1593.19946114682,-1593.53624728631,-1594.99258578947
-1589.106569321,-1587.08154698673,-1589.49204001294,-1589.49204001294,-1589.20609003145,-1588.06936852833,-1589.19817007196,-1589.10572326029,-1589.53394581659,-1590.03568181073
-1534.9772204328,-1535.04353307887,-1534.93554996382,-1534.93554996382,-1534.94628874522,-1534.96907555683,-1534.92762299598,-1534.91020832891,-1534.91928112954,-1534.967478402
-1581.7773587779,-1571.08518320975,-1583.2343764759,-1583.2343764759,-1582.57031633689,-1575.78740463845,-1581.59672415555,-1581.54746275384,-1582.79688764395,-1585.69167347174
-1533.76103863705,-1535.50513072336,-1533.57286420494,-1533.57286420494,-1533.39171536019,-1534.6050592723,-1533.65340967608,-1533.6195104004,-1533.35817078842,-1533.13197186093
-1514.4415353508,-1514.04460188102,-1514.47885397601,-1514.47885397601,-1514.44865775118,-1514.20757279301,-1514.37631248658,-1514.45345838378,-1514.44087997579,-1514.5690742029
-1516.57640159755,-1514.78493821809,-1516.92064951147,-1516.92064951147,-1516.65251061539,-1515.49243590429,-1516.47955672144,-1516.59102221809,-1516.77857100056,-1517.35792123742
-1526.71407642976,-1524.80077923689,-1526.94214444848,-1526.94214444848,-1526.58665730014,-1525.6347032641,-1526.61594284556,-1526.72522492982,-1526.92597037883,-1527.34053578833
-1532.57143107655,-1526.26682569431,-1533.50874690267,-1533.50874690267,-1533.27337285913,-1529.06742934087,-1532.54040493866,-1532.86874152858,-1533.46192833438,-1535.08511792696
