0nohup.out,1nohup.out,2nohup.out,3nohup.out,4nohup.out,5nohup.out,6nohup.out,7nohup.out,8nohup.out,9nohup.out
-1371.51457174051,-1371.43432009217,-1371.55520086765,-1371.47984756272,-1371.49915235314,-1371.51500684317,-1371.5059115963,-1371.5499205802,-1371.53490862521,-1371.49297828877
-1059.16138907609,-1059.86783102731,-1060.49026404753,-1059.45547633428,-1059.94742780926,-1060.58743485767,-1059.99591367012,-1060.50069032552,-1060.33168375586,-1060.22810966591
-822.230489980281,-822.908560497806,-822.660280627366,-822.34478094379,-822.571767133366,-822.706370756155,-822.501655947369,-822.739373179296,-822.714784762913,-822.940430911766
-636.593376897068,-637.617697669935,-636.077816601362,-636.899911458817,-636.845648269768,-636.71062481086,-636.706221430985,-635.992593502445,-636.256578715237,-636.912032734161
-521.29701789647,-521.931583005295,-521.06484429924,-521.535248912361,-521.360921788708,-521.395706923844,-521.352334645251,-521.053508993382,-521.148311815694,-521.404712949318
-445.254236723335,-445.523044549558,-444.920439813672,-445.234980299742,-445.412255329262,-445.073036506091,-445.360223957288,-444.943531676629,-445.079625732895,-445.207604929279
-387.019457851577,-388.34093189972,-386.514677118606,-387.516531791049,-387.150703737082,-386.932953338248,-387.011473942617,-386.532514638507,-386.615782051514,-387.160602816724
-356.775024804305,-357.027364064354,-356.683808815768,-357.006530771398,-356.787418147414,-356.877105347456,-356.740904919243,-356.781341420461,-356.74210852092,-356.764786011293
-326.926678365275,-327.083302863881,-326.889689794451,-327.042826655702,-327.016345375358,-326.904160271289,-326.898926239057,-326.796345316816,-326.931531028709,-326.954712124762
-310.971989120915,-310.584598937485,-311.203414458792,-310.796334272175,-310.941143274928,-310.936773534112,-310.970491760491,-311.249536455715,-311.14356144299,-310.797408534684
-297.393436437007,-297.32279703057,-297.705833327518,-297.411327638464,-297.305307589668,-297.460428832196,-297.313925084784,-297.591633588005,-297.534906040758,-297.319855638381
-283.607466807551,-283.677084697133,-283.622624936556,-283.633685643298,-283.633560536751,-283.608735575523,-283.589847444694,-283.609058643276,-283.644232743871,-283.579101073488
-272.878697935583,-273.063173925986,-272.780725600843,-272.911824350057,-272.857626003997,-272.782913329664,-272.883076823722,-272.74368052724,-272.840084044021,-272.825489878285
-262.230928992006,-262.287266557098,-262.229437526641,-262.278367177991,-262.230672190505,-262.260054633344,-262.237291518027,-262.285841388552,-262.306874097314,-262.14915109383
-252.872794475468,-252.875477119913,-252.877603133598,-252.8873101809,-252.821376609703,-252.915700838567,-252.837828453333,-252.882925248137,-252.907378950936,-252.854259946739
-244.972046382778,-245.08779271088,-244.948688437289,-245.06320351192,-244.941378191493,-244.985461460099,-245.025147732019,-244.925716511009,-244.96964461779,-244.92025498073
-239.408710127138,-239.47577387034,-239.37026642831,-239.436952786226,-239.366834924794,-239.387918884859,-239.401992840924,-239.368578468846,-239.383524051523,-239.359075907593
-235.633351164848,-235.558378559729,-235.602766873235,-235.604597781867,-235.512986089891,-235.58958528529,-235.565922462685,-235.611868071379,-235.589860615205,-235.522409960841
